,0,1,2,3,4
0,0.8966,0.7842,0.6996,0.5281,-0.7065
1,1795.3637,2594.4802,3060.5639,3836.0626,7295.1463
2,1365.697,1917.4854,2220.6701,2786.7497,5241.8582
3,0.9798,0.9785,0.9776,0.9807,0.9792
4,793.2821,819.3392,836.0238,776.1794,804.6329
5,624.4002,654.3798,664.2987,607.8904,634.1896
6,0.685,0.5924,0.5952,0.348,-0.0301
7,3134.1599,3565.297,3553.1188,4509.2878,5667.9366
8,2322.5589,2583.8891,2608.1946,3290.6469,4076.1936
9,0.9646,0.9368,0.9287,0.9162,0.8151
10,1050.0048,1403.6535,1490.7871,1616.4011,2401.1134
11,779.8699,1049.7294,1109.3641,1274.4527,1715.5363
12,0.7823,0.3497,-0.7228,-0.3775,-1.1259
13,2603.9754,4500.2717,7324.7001,6549.7864,8136.5672
14,2003.8725,3235.5389,5409.0769,4764.1172,6325.1325
15,0.9619,0.9742,0.9792,0.9756,0.9771
16,1089.7068,897.1551,804.0431,872.1234,844.9147
17,843.7292,716.6155,639.9226,694.9492,674.4917
18,0.6096,0.7043,0.2429,0.4191,-0.4621
19,3486.9767,3034.5371,4855.5437,4253.2056,6747.8184
20,2544.8951,2239.4868,3481.7071,3237.2794,4907.171
21,0.9041,0.9194,0.8494,0.9289,0.9118
22,1728.1556,1584.7231,2165.3884,1487.5688,1657.3918
23,1453.2219,1187.5492,1907.7237,1194.7042,1345.1378
24,0.5102,0.7439,0.3279,-0.6626,-1.2785
25,3905.756,2824.1725,4575.0947,7195.5435,8423.5525
26,2844.6342,2213.1656,3373.1734,5296.2508,6354.6264
27,0.971,0.9791,0.9756,0.978,0.977
28,949.9804,807.2754,871.2381,827.5512,847.0546
29,753.1865,647.2206,690.3593,665.835,671.8955
30,0.7511,0.634,0.5024,0.2378,-0.1807
31,2784.3206,3375.9343,3936.4753,4871.8732,6063.7057
32,2046.0223,2479.717,2831.9371,3485.9476,4398.428
33,0.9638,0.9485,0.844,0.3923,0.9156
34,1062.4121,1266.2001,2204.3148,4350.3746,1621.1049
35,819.4429,977.4402,1735.6483,2308.7116,1253.321
36,0.9463,0.787,0.853,0.5126,-0.0152
37,1293.3142,2575.4876,2139.297,3896.1714,5622.7459
38,985.7135,1924.9276,1417.1598,2888.3548,4086.574
39,0.3506,0.9786,0.9784,0.971,0.9785
40,4496.9446,815.4446,819.7433,950.2987,817.3862
41,3941.3424,640.1377,649.4801,741.7178,650.1143
42,0.8956,0.6805,0.6892,0.5827,0.2368
43,1802.7817,3154.1759,3111.2577,3604.9521,4875.1249
44,1280.8592,2348.5189,2298.5544,2728.8378,3633.0059
45,0.8345,0.9366,0.7879,0.8811,0.9269
46,2270.2369,1404.995,2569.8492,1924.2333,1508.7242
47,1791.1335,1043.312,1932.6675,1558.181,1091.6631
48,0.8847,0.1882,-0.076,0.3545,-0.0241
49,1893.5138,5024.8876,5785.125,4480.7759,5643.734
50,1473.6112,3764.3034,4279.2009,3736.586,5143.019
51,0.9751,0.9748,0.9706,0.9704,0.9754
52,880.5993,885.2941,956.4667,959.9539,874.8123
53,710.5744,701.4072,728.5118,736.4982,678.6627
54,0.5779,0.598,-0.5948,-0.7743,-0.7506
55,3623.4374,3535.999,7042.8883,7428.7731,7378.9515
56,2693.6184,2623.7286,5066.6215,5331.7546,5314.596
57,0.9155,0.9372,0.9177,0.8909,0.9045
58,1621.1011,1397.4193,1599.672,1842.0772,1723.3701
59,1203.3681,1105.5702,1203.9869,1423.3769,1218.7084
60,0.936,-0.0729,-1.0119,-0.1883,-0.9342
61,1411.2494,5776.6517,7910.4257,6079.4428,7756.3204
62,1116.1813,5033.8077,6054.5998,5187.0634,6844.6152
63,0.9809,0.9768,0.9719,0.9714,0.9753
64,771.1009,849.2726,934.669,943.3697,877.3482
65,613.4302,679.2387,747.3305,747.6939,685.4483
66,0.8453,0.7105,-0.1418,0.3139,-0.1454
67,2193.3982,3000.6557,5959.3654,4619.4549,5968.6124
68,1572.4477,2110.1398,4473.8059,3463.1297,4315.6333
69,0.9338,0.9446,0.776,0.8187,0.8599
70,1435.118,1312.3932,2639.7925,2374.7218,2087.1309
71,1117.5358,1035.8483,2104.5302,1933.1193,1691.7965
