,0,1,2,3,4
0,0.5557,0.3683,-0.0119,0.0339,-0.5377
1,3722.2941,4438.3409,5617.6089,5488.8145,6924.8128
2,2745.8268,3163.1467,4296.0848,4050.7799,5035.9736
3,0.946,0.9324,0.9442,0.9296,0.9424
4,1298.0252,1451.6453,1319.2375,1481.9991,1340.2183
5,995.8787,1066.2926,1010.9107,1094.9818,998.065
6,-0.1021,-0.4732,-0.7497,-0.5299,-0.9562
7,5862.4968,6777.9787,7386.8383,6907.2293,7810.4796
8,4245.8655,4919.3328,5442.2181,5029.2744,5718.0051
9,0.7477,0.552,0.499,0.3716,0.3573
10,2804.9495,3737.8622,3952.5682,4426.9634,4476.9738
11,1987.0597,2749.5182,2786.5988,3333.5474,3365.481
12,0.6672,0.4456,-0.0355,-0.4156,-0.4825
13,3219.422,4155.0358,5678.6782,6639.638,6794.7497
14,2362.6352,3206.8215,4168.9034,4831.2352,5036.1936
15,0.9567,0.9553,0.951,0.953,0.9531
16,1160.6437,1179.8838,1234.839,1209.9722,1208.4655
17,885.3161,900.047,934.0326,917.5235,928.4416
18,0.2545,-0.8011,-1.2504,-0.7325,-0.6795
19,4818.2849,7489.3539,8371.4694,7345.2836,7232.1508
20,3476.2224,5506.328,6264.5146,5373.9848,5329.6461
21,0.729,0.6707,0.505,0.5959,0.5214
22,2905.0103,3202.3518,3926.363,3547.6847,3860.7279
23,2032.5865,2374.3345,2981.749,2807.782,2820.8897
24,0.4,0.3429,0.0793,-0.2678,-0.8281
25,4322.5077,4523.5199,5354.6145,6283.5163,7545.3701
26,3213.4192,3506.5516,3936.4235,4683.8342,5589.1422
27,0.9533,0.9528,0.949,0.9514,0.9501
28,1206.1338,1212.3626,1259.9043,1230.5465,1245.9715
29,915.0316,932.0875,953.8363,943.6475,953.3017
30,-0.496,-0.8926,-0.656,-0.7209,-0.727
31,6825.5979,7677.2699,7181.3851,7320.7662,7333.6133
32,5119.7816,5732.8623,5245.4488,5352.2036,5401.9791
33,0.7357,0.682,0.4343,0.5465,0.6847
34,2868.8416,3147.1856,4197.3051,3757.9096,3133.5727
35,2066.3474,2333.3357,3156.7264,2776.0824,2280.4577
36,0.3242,0.4679,0.1664,0.0796,-0.1093
37,4587.4246,4070.7488,5094.9676,5353.8999,5877.5045
38,3268.7811,3049.1832,3735.4922,3894.6344,4490.7047
39,0.9377,0.9498,0.9291,0.936,0.9436
40,1393.2513,1250.1691,1486.0292,1412.3224,1325.2846
41,1067.8637,968.3144,1096.7575,1045.649,1009.9399
42,-0.3209,-0.3659,-0.4707,-0.5201,-0.621
43,6413.8047,6521.9693,6767.6153,6880.2532,7105.0263
44,4653.9425,4758.0648,4931.7858,5033.1469,5209.3202
45,0.5754,0.6622,0.625,0.6459,0.5744
46,3636.4572,3243.5185,3417.3723,3320.6915,3640.792
47,2624.3042,2353.9795,2552.6291,2399.4114,2801.0539
48,0.8175,0.1855,0.2933,-0.677,-0.5505
49,2382.4707,5033.359,4688.3659,7222.1541,6944.3662
50,1724.6964,3806.0359,3420.1988,5535.8846,5409.0829
51,0.9498,0.9532,0.9527,0.9526,0.9461
52,1250.132,1206.9916,1212.9088,1213.6259,1295.3259
53,942.0864,931.4272,924.316,931.714,971.3333
54,-1.2018,-1.077,-1.3373,-1.0999,-0.7997
55,8275.3787,8037.5585,8526.2278,8081.6036,7481.7351
56,6334.5371,5990.585,6672.8281,6348.6902,5577.9194
57,0.7786,0.6624,0.7656,0.6142,0.5831
58,2624.392,3240.4559,2700.3064,3463.9491,3600.8977
59,1965.8498,2315.0531,1930.3346,2464.0846,2655.9679
60,0.5052,0.4662,0.1107,-0.0249,-0.4826
61,3922.8164,4074.8067,5259.2577,5646.1467,6790.6057
62,2993.047,3244.6189,3922.6449,4173.3424,5010.8227
63,0.9613,0.949,0.9553,0.952,0.956
64,1097.757,1260.0278,1179.0173,1222.0873,1169.3535
65,858.9053,953.8509,919.0564,941.8323,900.5013
66,-0.5511,-0.9725,-0.8411,-0.7542,-1.1408
67,6945.8931,7832.6121,7567.383,7386.6197,8159.9718
68,5386.6183,5792.3751,5643.6664,5506.1229,6250.387
69,0.7475,0.6978,0.6395,0.705,0.6308
70,2802.4082,3065.7736,3348.5986,3029.2654,3388.8517
71,2011.7998,2173.5651,2374.6999,2244.5577,2533.2627
